Title,Uri,,
Take token using 'authorized code' grant type of Microsoft Graph API – Processtune Blog,./2020/01/31/programmable-authentication-flow-for-accessing-to-microsoft-graph/index.html,,
Get user information of Azure Active Directory account using Microsoft Graph API – Processtune Blog,./2020/02/29/get-user-information-of-azure-active-directory-account-using-microsoft-graph-api/index.html,,
Cognitive Services QnA Maker – Setting Azure Bot Service – Processtune Blog,./2020/03/13/cognitive-services-qna-maker-setting-azure-bot-service/index.html,,
Preparing to create the app using programmable authentication flow – Processtune Blog,./2020/03/14/preparing-to-create-the-app-using-programmable-authentication-flow/index.html,,
Programmable authentication flow for accessing to Microsoft Graph – Processtune Blog,./2020/03/31/programmable-authentication-flow-for-accessing-to-microsoft-graph-2/index.html,,
appsettings.json in C# .NET Core mvc web app – Processtune Blog,./2020/04/20/appsettings-json-in-c-net-core-mvc-web-app/index.html,,
Change JsonConvert to JsonSerializer – Processtune Blog,./2020/05/23/change-jsonconvert-to-jsonserializer/index.html,,
Create .NET Core Library – Processtune Blog,./2020/05/27/create-net-core-library/index.html,,
How to set attributes of Azure Active Directory application for an app using JavaScript to authenticate users – Processtune Blog,./2020/09/01/how-to-set-attributes-of-azure-active-directory-application-for-an-app-using-javascript-to-authenticate-users/index.html,,
You can share the devices profile of Chrome and Edge – Processtune Blog,./2020/10/01/you-can-share-the-devices-profile-of-chrome-and-edge/index.html,,
Should define layout at first if you choice atomic design – Processtune Blog,./2021/05/01/should-define-layout-at-first-if-you-choice-atomic-design/index.html,,
QR code create with Rust language runnable on Azure Functions – Processtune Blog,./2021/07/01/qr-code-create-with-rust-language-runable-on-azure-functions/index.html,,
How to compile Rust assembly runnable on Linux for deployment to Azure Functions – Processtune Blog,./2021/08/01/how-to-compile-rust-assembly-runnable-on-linux-for-deployment-to-azure-functions/index.html,,
Rust QR code generator App of Azure Functions – Processtune Blog,./2021/09/01/rust-qr-code-generator-app-of-azure-functions/index.html,,
Blazor WASM aquires SVG images that will be colored by JavaScript later – Processtune Blog,./2021/10/01/blazor-wasm-aquires-svg-images-that-will-be-colored-by-javascript-later/index.html,,
JavaScript colors SVG images that are acquired by Blazor WebAssembly – Processtune Blog,./2021/11/01/javascript-colors-svg-images-that-are-acquired-by-blazor-webassembly/index.html,,
Nginx run on Windows Subsystem for Linux 2 – Processtune Blog,./2021/12/01/nginx-run-on-windows-subsystem-for-linux-2/index.html,,
Create reverse proxy using dotnet minimal – Processtune Blog,./2022/01/15/create-reverse-proxy-using-dotnet-minimal/index.html,,
