Title,Categories,Uri,FullPath
"January 20, 2014 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2014/01/20/index.html","E:\repos\Processtune-web\www\2014\01\20\index.html"
"April 9, 2014 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2014/04/09/index.html","E:\repos\Processtune-web\www\2014\04\09\index.html"
"June 8, 2014 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2014/06/08/index.html","E:\repos\Processtune-web\www\2014\06\08\index.html"
"July 13, 2014 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2014/07/13/index.html","E:\repos\Processtune-web\www\2014\07\13\index.html"
"July 28, 2014 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2014/07/28/index.html","E:\repos\Processtune-web\www\2014\07\28\index.html"
"August 18, 2014 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2014/08/18/index.html","E:\repos\Processtune-web\www\2014\08\18\index.html"
"September 20, 2014 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2014/09/20/index.html","E:\repos\Processtune-web\www\2014\09\20\index.html"
"October 9, 2014 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2014/10/09/index.html","E:\repos\Processtune-web\www\2014\10\09\index.html"
"December 5, 2014 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2014/12/05/index.html","E:\repos\Processtune-web\www\2014\12\05\index.html"
"January 7, 2015 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2015/01/07/index.html","E:\repos\Processtune-web\www\2015\01\07\index.html"
"February 2, 2015 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2015/02/02/index.html","E:\repos\Processtune-web\www\2015\02\02\index.html"
"February 10, 2015 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2015/02/10/index.html","E:\repos\Processtune-web\www\2015\02\10\index.html"
"May 10, 2015 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2015/05/10/index.html","E:\repos\Processtune-web\www\2015\05\10\index.html"
"May 23, 2015 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2015/05/23/index.html","E:\repos\Processtune-web\www\2015\05\23\index.html"
"April 8, 2016 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2016/04/08/index.html","E:\repos\Processtune-web\www\2016\04\08\index.html"
"May 10, 2016 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2016/05/10/index.html","E:\repos\Processtune-web\www\2016\05\10\index.html"
"July 11, 2016 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2016/07/11/index.html","E:\repos\Processtune-web\www\2016\07\11\index.html"
"August 13, 2016 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2016/08/13/index.html","E:\repos\Processtune-web\www\2016\08\13\index.html"
"September 2, 2016 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2016/09/02/index.html","E:\repos\Processtune-web\www\2016\09\02\index.html"
"January 12, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/01/12/index.html","E:\repos\Processtune-web\www\2017\01\12\index.html"
"February 12, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/02/12/index.html","E:\repos\Processtune-web\www\2017\02\12\index.html"
"March 1, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/03/01/index.html","E:\repos\Processtune-web\www\2017\03\01\index.html"
